Dataset,Augmentation technique,Dataset Reduction (r),Experiment #,Training Epochs,Test loss,Test accuracy
Tag My News (Titles Only),Augmentation with max. window size 2,0.43179827600000004,9.5,163.0,0.8636356085499999,73.1533738965
Tag My News (Titles Only),Augmentation with max. window size 2,0.46852108299999995,9.5,154.45,0.8567154854499999,73.47850620599999
Tag My News (Titles Only),Augmentation with max. window size 2,0.508638306,9.5,148.65,0.8345020204500001,74.28124934550002
Tag My News (Titles Only),Augmentation with max. window size 2,0.5528419689999999,9.5,143.6,0.8202373445,73.56886386750003
Tag My News (Titles Only),Augmentation with max. window size 2,0.602059991,9.5,140.65,0.8196311280499999,74.48897063800001
Tag My News (Titles Only),Augmentation with max. window size 2,0.6575773189999999,9.5,141.05,0.7993951662500001,75.4387041925
Tag My News (Titles Only),Augmentation with max. window size 2,0.7212463990000001,9.5,129.95,0.7875025317000001,75.4433307045
Tag My News (Titles Only),Augmentation with max. window size 2,0.795880017,9.5,150.6,0.7864171966999999,75.82832649299999
Tag My News (Titles Only),Augmentation with max. window size 2,0.886056648,9.5,125.85,0.7585502251500001,76.48797661100001
Tag My News (Titles Only),Augmentation with max. window size 2,1.0,9.5,123.4,0.7339730859,77.03206017600002
Tag My News (Titles Only),Augmentation with max. window size 3,0.013228266,9.5,229.2,1.4507455171000003,51.538462341499994
Tag My News (Titles Only),Augmentation with max. window size 3,0.026872146,9.5,267.85,1.3060441136499998,57.64706075299999
Tag My News (Titles Only),Augmentation with max. window size 3,0.040958608,9.5,294.4,1.1810532866999999,61.34615421349999
Tag My News (Titles Only),Augmentation with max. window size 3,0.055517328,9.5,310.15,1.15682885355,62.71428793600002
Tag My News (Titles Only),Augmentation with max. window size 3,0.07058107400000001,9.5,317.5,1.12370312815,63.6940297485
Tag My News (Titles Only),Augmentation with max. window size 3,0.086186148,9.5,331.7,1.1107357949,65.2453985805
Tag My News (Titles Only),Augmentation with max. window size 3,0.102372909,9.5,336.4,1.10727398105,64.974226356
Tag My News (Titles Only),Augmentation with max. window size 3,0.11918640800000001,9.5,247.15,1.0526776433999998,65.75555562999998
Tag My News (Titles Only),Augmentation with max. window size 3,0.13667714,9.5,222.5,1.04820763455,67.596899272
Tag My News (Titles Only),Augmentation with max. window size 3,0.15490196,9.5,220.35,1.0264598340999997,67.6109215625
Tag My News (Titles Only),Augmentation with max. window size 3,0.173925197,9.5,232.25,1.0058644384500002,68.5562309625
Tag My News (Titles Only),Augmentation with max. window size 3,0.193820026,9.5,229.35,0.97282815275,70.19125699950001
Tag My News (Titles Only),Augmentation with max. window size 3,0.214670165,9.5,225.95,1.0034085363499998,68.07881772599998
Tag My News (Titles Only),Augmentation with max. window size 3,0.236572006,9.5,198.9,0.9603011876000002,69.9328857665
Tag My News (Titles Only),Augmentation with max. window size 3,0.25963731100000004,9.5,186.3,0.9544284016000001,70.60204028950001
Tag My News (Titles Only),Augmentation with max. window size 3,0.283996656,9.5,183.35,0.9533673167000002,69.7294780605
Tag My News (Titles Only),Augmentation with max. window size 3,0.30980392,9.5,193.55,0.9246839522499999,70.273506046
Tag My News (Titles Only),Augmentation with max. window size 3,0.33724216799999995,9.5,189.6,0.9067251026,71.67189955699999
Tag My News (Titles Only),Augmentation with max. window size 3,0.366531544,9.5,164.1,0.9112331867,71.5679189565
Tag My News (Titles Only),Augmentation with max. window size 3,0.397940009,9.5,163.2,0.8823301821999999,72.52330243649999
Tag My News (Titles Only),Augmentation with max. window size 3,0.43179827600000004,9.5,165.05,0.87999705675,72.46012300299998
Tag My News (Titles Only),Augmentation with max. window size 3,0.46852108299999995,9.5,149.05,0.8589237302999999,73.64819019999999
Tag My News (Titles Only),Augmentation with max. window size 3,0.508638306,9.5,149.3,0.8538579762999999,73.2291671625
Tag My News (Titles Only),Augmentation with max. window size 3,0.5528419689999999,9.5,144.05,0.85889752055,72.89977282299999
Tag My News (Titles Only),Augmentation with max. window size 3,0.602059991,9.5,140.75,0.85332424345,73.76955866899999
Tag My News (Titles Only),Augmentation with max. window size 3,0.6575773189999999,9.5,130.95,0.8029292807999999,74.90724161250002
Tag My News (Titles Only),Augmentation with max. window size 3,0.7212463990000001,9.5,130.65,0.812465261,74.86905112849999
Tag My News (Titles Only),Augmentation with max. window size 3,0.795880017,9.5,145.5,0.7897847906500002,75.38144439450001
Tag My News (Titles Only),Augmentation with max. window size 3,0.886056648,9.5,123.4,0.77620571255,76.1323811115
Tag My News (Titles Only),Augmentation with max. window size 3,1.0,9.5,124.1,0.75993884345,76.6004030405
Tag My News (Titles Only),No Augmentation,0.013228266,9.5,218.7,1.5240745604000001,45.769231655000006
Tag My News (Titles Only),No Augmentation,0.026872146,9.5,287.2,1.3544674573499997,55.098041073000005
Tag My News (Titles Only),No Augmentation,0.040958608,9.5,337.8,1.23734360935,58.58974412200001
